agent_name,avg_total_reward,critical_survival_rate,success_rate,ventilator_utilization,invalid_action_count,meets_targets,milestone_a,milestone_b,milestone_c,failure_modes,failure_reason_counts,checkpoint_status,checkpoint_warning
RandomAgent,-391.4277,se,False,False,False,critical_survival_too_low;success_rate_too_low;re0.0000,0.0000,0.0000,0,Falward_not_above_rule_based;ventilator_use_too_low;failure_reasons=failed_both:30,failed_both:30,,
RuleBasedAgent,-108.8233,0.0000,0.0000,0.0000,0,False,False,False,False,critical_survival_too_low;success_rate_too_low;reward_not_above_rule_based;ventilator_use_too_low;failure_reasons=failed_survival_threshold:30,failed_survival_threshold:30,,
LLMAgent,-173.5342,0.0000,0.0000,0.2024,0,False,False,False,False,critical_survival_too_low;success_rate_too_low;reward_not_above_rule_based;failure_reasons=failed_both:30,failed_both:30,,
TrainedQAgent,-44.1931,0.0167,0.6333,0.3870,0,False,True,False,False,critical_survival_too_low;failure_reasons=failed_survival_threshold:6;failed_avg_health_threshold:5,failed_avg_health_threshold:5;failed_survival_threshold:6,fresh,
RLAgent,-55.1503,0.0333,0.3333,0.3066,0,False,True,False,False,critical_survival_too_low;success_rate_too_low;failure_reasons=failed_survival_threshold:9;failed_avg_health_threshold:8;failed_both:3,failed_avg_health_threshold:8;failed_both:3;failed_survival_threshold:9,fresh,
